,대상자번호,업종코드1,대상자명,대상자코드
4175821,6000870929,45120.0,트레이드24(trade 24),100
4175836,6000856466,45110.0,GREAT WALL MOTORS,230
4175839,3100118279,46202.0,고덕원예무역,100
4175850,6000391743,46721.0,EMP EDELSTAHL GMBH,325
4175901,3100110833,11209.0,(주)네이처셀,100
4175956,6000650773,24219.0,(주)세기리텍,100
4175962,6000719852,46599.0,LX FRANCE,321
4175967,6000706099,26211.0,(주) 씨엘디,100
4176061,6000872408,29210.0,TASHKENT PLANT OF AGRICULTURAL MACHINERY JSC(JSC TQXTZ),367
4176067,6000860443,46621.0,EXCALIBUR WATER SYSTEMS INC,410
4176093,6000326470,45211.0,REIFEN KRIEG GMBH,325
4176195,6000879892,29199.0,CONTROL AFZAR TABRIZ COMPANY,220
4176208,6000029635,47320.0,FRY S ELECTRONICS INC (FRY S/FRYS COM/OUTPOST COM),450
4176216,6000144616,29210.0,(주)세코,100
4176326,6000883879,22231.0,두스텍,100
4176327,6000883884,,AL WATHBAH TRADING L.L.C,280
4176374,6000650773,24219.0,(주)세기리텍,100
4176375,6000711234,26511.0,(주)지엠앤테크,100
4176397,6000884446,95121.0,ELETRONICA CAETES LTDA ME,511
4176404,2618100473,28519.0,UNION GROUP COMPANY FOR TRADING S A E,618
4176407,2180101118,24121.0,SAHAVIRIYA STEEL INDUSTRIES PUBLIC COMPANY LIMITED (SSI),180
4176413,2355100195,47416.0,PUNTO FA SL,355
4176507,6000256628,14199.0,(주)대항크리에이션,100
4176513,6000277120,28111.0,(주)탑선,100
4176514,6000272765,18119.0,(주)글로벌프린트팩,100
4176519,6000300469,46739.0,(주)베이스코리아,100
4176530,6000702741,28201.0,GANIVA LIMITED (GL),627
4176562,2410100501,45211.0,REMCO TIRE DISTRIBUTORS (LONDON) LIMITED,410
4176626,6000449522,46319.0,HFG PROCUREMENT LIMITED,130
4176650,2361101206,30310.0,PROFESSIONAL LLC,361
4176661,6000612502,46739.0,ERAY KIMYA DANISMANLIK VE DIS TICARET SANAYI LTD STI,275
4176677,6000702610,46322.0,(주) 엘케이홀딩스,100
4176702,6000225467,22299.0,MALPLAST INDUSTRIES LIMITED (MIL),630
4176726,2410102148,47121.0,T AND T SUPERMARKET INC (OSAKA SUPERMARKET),410
