,대상자번호,업종코드,대상자코드
2356753,6000119214,46510,517
2356782,6000140842,45110,176
2356828,6000141875,33999,135
2357011,6000148852,41210,154
2357064,6000136102,46521,645
2357282,6000158868,13310,332
2357358,6000151171,33999,450
2357371,6000151103,46311,154
2357524,6000157807,13229,332
2357562,6000043160,30310,550
2357567,6000074823,46800,121
2357627,6000100193,46539,327
2357637,6000064159,17901,140
2357666,6000044177,46510,327
2357755,6000093800,46539,331
2358063,6000137798,46800,130
2358125,6000131686,46800,361
2358144,6000129748,46800,176
2358352,6000111746,46739,140
2358405,6000150341,1110,181
2358416,6000119298,31111,176
2358450,6000144753,24311,511
2358492,6000148666,45211,580
2358524,6000116232,41121,165
2358539,6000149505,13213,450
2358643,6000172526,15190,121
2358668,6000145976,46521,316
2358749,6000151153,33999,121
2358771,6000156053,13221,121
2358895,6000169432,46800,355
2358911,6000154317,46721,140
2358937,6000158907,35111,325
2358946,6000155855,46411,450
2358949,6000155888,46800,140
2358989,6000093748,46521,360
2358990,6000094184,46521,327
2358999,6000042123,33201,360
2359036,6000100237,46800,450
2359184,6000044224,46510,280
2359396,6000150873,30310,220
2359444,6000119724,45211,410
2359470,6000129183,47851,450
2359612,6000136036,33110,321
2359814,6000144882,46711,361
2359874,6000130700,46711,171
2360057,6000156025,46510,511
2360078,6000169062,46800,311
2360092,6000156026,28511,503
2360124,2240100234,28909,240
2360143,6000152480,15110,121
2360153,6000152479,22211,121
2360160,6000157065,46491,220
2360170,6000168784,64201,340
2360261,6000152866,46510,355
2360316,6000172448,13213,367
2360434,6000072626,47320,361
2360614,6000082730,46539,517
2360897,6000117221,46539,361
2361056,6000142519,26410,120
2361059,6000134257,46411,450
2361092,6000132279,46420,332
2361095,6000132294,33999,321
2361217,6000141863,46621,355
2361234,6000127722,47411,450
2361255,6000148766,45211,410
2361341,6000146611,46510,135
2361377,6000133742,46800,450
2361444,6000156115,60100,331
2361449,6000150038,46539,321
2361496,6000149968,33999,275
2361556,6000170208,46611,365
2361623,6000174985,58111,450
2361626,6000175073,46411,511
2361634,6000169879,46800,130
2361638,6000174209,46510,280
2361639,6000174210,46800,235
2361663,6000155500,13213,135
2361708,6000157276,42201,100
2361737,6000155951,46510,332
2361768,6000162838,33999,135
2361824,6000171063,46721,366
2361856,6000156128,46105,176
2361869,6000169760,47320,352
2361938,6000097207,46461,450
2362005,6000036638,29119,220
2362022,6000012617,5200,350
2362071,6000082699,61210,361
2362081,6000044319,13229,176
2362360,6000111783,26299,120
2362553,6000136320,47320,701
2362704,6000142352,46800,321
2362721,6000100222,46521,327
2362760,6000133189,46800,280
2362828,6000151135,26299,450
2362902,6000157040,46105,351
2362906,6000154397,16211,321
2363015,6000162908,46521,351
2363055,6000155847,32029,450
2363097,6000153298,33999,701
2363141,6000181367,46800,332
2363194,6000150832,21210,367
2363231,6000150059,46311,450
2363260,6000152519,45211,275
2363261,6000152525,46800,230
2363368,6000101196,46510,332
2363430,6000045116,45211,450
2363545,6000100223,46521,327
2363737,6000150669,46611,285
2363860,6000148755,45110,645
2363899,6000132755,46721,154
2363940,6000135983,42500,450
2363976,6000143374,46799,450
2364003,6000113240,46800,450
2364079,6000150710,46491,358
2364156,6000133202,96999,135
2364199,6000150150,46611,517
2364242,6000169608,46521,450
2364253,6000157746,46411,450
2364394,6000171256,47631,450
2364505,6000160463,96999,410
2364524,6000179764,24131,511
2364648,2361101767,46739,361
2364762,6000194624,35200,355
2364764,6000194626,29119,355
2364930,6000010130,46800,180
2365201,6000107318,24111,136
2365217,6000110699,13213,525
2365278,6000150029,17110,176
2365373,6000134330,13213,355
2365430,6000128683,27112,176
2365474,6000149294,49311,316
2365511,6000100287,47311,450
2365514,6000119677,46411,450
2365676,6000165211,38301,410
2365680,6000148387,20499,560
2365761,6000168260,46539,511
2365793,6000175061,46411,511
2365803,6000175090,46411,511
2365805,6000175097,14199,511
2365901,6000158411,13213,361
2365973,6000187242,46611,450
2365989,6000184409,46521,136
2366018,6000191861,58111,450
2366052,6000180273,29241,135
2366095,6000194621,26299,355
2366117,6000189420,46521,511
2366278,6000079673,25991,121
2366295,6000099185,47320,327
2366320,6000082738,14191,450
2366406,6000093772,47320,360
2366609,6000151784,46799,275
2366684,6000136319,46510,701
2366740,6000150434,33999,450
2366783,6000146907,46800,355
2366788,6000140761,46539,135
