,대상자번호,업종코드,대상자명,대상자코드
2345299,3100026725,27112,(주)바이오프로테크,100
2345309,3100011651,13229,(주)대호섬유,100
2345345,3100005073,33110,부릴리엔트크리에이숀코리아(주),100
2345354,3100026071,14199,(주)까미노어패럴,100
2345411,3100027496,62021,에스케이씨앤씨(주),100
2345425,3100109303,32029,미나미세원,100
2345473,3100108997,29210,(주)예은테크,100
2345482,3100109040,26299,(주)유포시스,100
2345513,3100106148,24321,엠팩트(주),100
2345538,3100106674,20301,(주)근도테크놀러지,100
2345558,3100113313,29119,S&U 메가톤중공업,100
2345563,3100113348,30310,(주)엠엘테크,100
2345567,3100113352,46105,KNF KOREA INC,100
2345569,3100113354,13221,Y.J TEXTILE,100
2345576,3100113398,27112,(주)한별메디텍,100
2345593,3100114388,46510,(주)세미머티리얼즈,100
2345604,3100114593,38301,(주)케이쿼크,100
2345620,3100112449,33999,한일글로브,100
2345654,3100111899,28511,(주)후레쉬워터,100
2345656,3100111901,46739,(주)대광화학,100
2345662,3100111677,28121,우진테크,100
2345669,3100114460,26299,(주)유원,100
2345674,3100114500,33110,(주)서울메이플인터내셔날,100
2345683,3100114278,33999,기성섬유,100
2345689,3100114284,29119,한테크(주),100
2345713,3100114156,22211,신원전자정밀(주),100
2345730,3100114189,30310,(주)비에프시스템,100
2345762,3100110950,13229,(주)아주플러스텍스타일,100
2345777,3100108531,29119,(주)이진엔지니어링,100
2345778,3100111477,30310,용성전장(주),100
2345781,3100110629,14199,(주)삼진위버,100
2345782,3100110630,26299,이노트로닉스(주),100
2345786,3100110634,10712,(주)김가고려인삼,100
